"","HostCorrectedName","bodymass_kg","mean_groupsize","mean_dayrange_meters","homerange_ha","social_time","SSD","diel_activity","habitat_category","locomotion","mating_system","trophic_folivore","trophic_Omnivore","realm","iucn"
"1","Papio_cynocephalus",15.025,65,5150,1654.2,12.19,1.702702703,"diurnal","forest_savanna_shrubland","terrestrial","multimale-multifemale","Non-Folivore","Other","M_Africa","least concern"
"2","Varecia_variegata",3.4075,8.7075,1041.658,76.544,4.782222222,1.027181688,"diurnal","forest","arboreal","monogamy","Non-Folivore","Other","Madagascar","endangered"
"3","Macaca_fascicularis",4.03,38.525,1602.9,95,10.7,1.50621118,"diurnal","forest_wetlands","arboreal","multimale-multifemale","Non-Folivore","Other","Asia","least concern"
"4","Saguinus_oedipus",0.45,3.383333333,2061,25.8,12.7,0.992222222,"diurnal","forest","arboreal","monogamy","Non-Folivore","Omnivore/Insectivore","Neotropics","least concern"
"5","Pan_troglodytes",53.7,48.44416667,2225,1916.47,14.05,1.265822785,"diurnal","forest_savanna","both","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","endangered"
"6","Pan_troglodytes",53.7,48.44416667,2225,1916.47,14.05,1.265822785,"diurnal","forest_savanna","both","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","endangered"
"7","Pan_troglodytes",53.7,48.44416667,2225,1916.47,14.05,1.265822785,"diurnal","forest_savanna","both","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","endangered"
"8","Alouatta_caraya",5.38,9.309090909,522.3333333,26.14166667,5.82,1.482678984,"diurnal","forest_savanna","arboreal","multimale-multifemale","Folivore","Other","Neotropics","least concern"
"9","Papio_anubis",16.65,40.525,3384.25,2260,13.2,1.729508197,"diurnal","forest_savanna_shrubland_grassland","terrestrial","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"10","Leontopithecus_rosalia",0.64,5.415,1606,96.1,NA,1.065916399,"diurnal","forest","arboreal","monogamy","Non-Folivore","Other","Neotropics","endangered"
"11","Papio_anubis",16.65,40.525,3384.25,2260,13.2,1.729508197,"diurnal","forest_savanna_shrubland_grassland","terrestrial","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"12","Cercopithecus_aethiops",4.704444444,25.7328,2379.125,59.85777778,6.580714286,1.505456349,"diurnal","forest_savanna_shrubland","terrestrial","multimale-multifemale","Non-Folivore","Other","M_Africa","least concern"
"13","Macaca_tonkeana",10.475,12.5,NA,102.375,12.85,1.651898734,"diurnal","forest","both","multimale-multifemale","Non-Folivore","Other","Asia","vulnerable"
"14","Macaca_tonkeana",10.475,12.5,NA,102.375,12.85,1.651898734,"diurnal","forest","both","multimale-multifemale","Non-Folivore","Other","Asia","vulnerable"
"15","Cercopithecus_petaurista",3.65,10.6,1051,65.1875,4.15,1.517241379,"diurnal","forest_shrubland","arboreal","polygynous","Folivore","Other","M_Africa","least concern"
"16","Nasalis_larvatus",15.75,13.82307692,748,389.85,6.1,2.005725191,"diurnal","forest","arboreal","polygynous","Folivore","Other","Asia","endangered"
"17","Nasalis_larvatus",15.75,13.82307692,748,389.85,6.1,2.005725191,"diurnal","forest","arboreal","polygynous","Folivore","Other","Asia","endangered"
"18","Cercopithecus_petaurista",3.65,10.6,1051,65.1875,4.15,1.517241379,"diurnal","forest_shrubland","arboreal","polygynous","Folivore","Other","M_Africa","least concern"
"19","Macaca_silenus",7.5,19,2000,251.8266667,7.3,1.459016393,"diurnal","forest","arboreal","multimale-multifemale","Non-Folivore","Other","Asia","endangered"
"20","Cercopithecus_diana",4.525,21.3,1441,115,1.2,1.333333333,"diurnal","forest","arboreal","polygynous","Non-Folivore","Other","M_Africa","vulnerable"
"21","Galagoides_demidoff",0.23625,2.777777778,NA,1.6,NA,1.007297552,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"22","Galagoides_demidoff",0.23625,2.777777778,NA,1.6,NA,1.007297552,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"23","Pygathrix_roxellana",13.615,181.3571429,1293.6575,2041.2,10.495,1.525974026,"diurnal","forest","both","polygynous","Folivore","Other","Asia","endangered"
"24","Galagoides_demidoff",0.23625,2.777777778,NA,1.6,NA,1.007297552,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"25","Otolemur_crassicaudatus",1.15,NA,NA,8.5,14,1.072072072,"nocturnal","forest_savanna_shrubland","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"26","Procolobus_verus",4.45,18.61428571,1212,43.3,4.35,1.119047619,"diurnal","forest","arboreal","multimale-multifemale","Folivore","Other","M_Africa","near threatened"
"27","Galagoides_demidoff",0.23625,2.777777778,NA,1.6,NA,1.007297552,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"28","Papio_cynocephalus",15.025,65,5150,1654.2,12.19,1.702702703,"diurnal","forest_savanna_shrubland","terrestrial","multimale-multifemale","Non-Folivore","Other","M_Africa","least concern"
"29","Cercopithecus_campbelli",3.75,14.75,1155,34.59375,8.933333333,1.830188679,"diurnal","forest_savanna","arboreal","polygynous","Non-Folivore","Other","M_Africa","least concern"
"30","Cercocebus_torquatus",7.793333333,20.7,1400,315.8,7.9,1.780952381,"diurnal","forest_savanna","both","multimale-multifemale","Non-Folivore","Other","M_Africa","near threatened"
"31","Colobus_polykomos",8.39,12.975,534.1666667,55.3,2.475,1.210526316,"diurnal","forest_savanna","arboreal","multimale-multifemale","Folivore","Other","M_Africa","vulnerable"
"32","Galagoides_demidoff",0.23625,2.777777778,NA,1.6,NA,1.007297552,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"33","Colobus_badius",7.826153846,32.94153846,666.8090909,81.54,6.75,1.328602642,"diurnal","forest_savanna_shrubland_wetlands","arboreal","multimale-multifemale","Folivore","Other","M_Africa","least concern"
"34","Galagoides_demidoff",0.23625,2.777777778,NA,1.6,NA,1.007297552,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"35","Papio_cynocephalus",15.025,65,5150,1654.2,12.19,1.702702703,"diurnal","forest_savanna_shrubland","terrestrial","multimale-multifemale","Non-Folivore","Other","M_Africa","least concern"
"36","Cercocebus_galeritus",8.514,29.65,1653.625,200.675,11.27142857,1.745784148,"diurnal","forest","both","multimale-multifemale","Non-Folivore","Other","M_Africa","least concern"
"37","Propithecus_diadema",5.015555556,4.371428571,980.81125,36.971,6.421,1.018087582,"diurnal","forest","arboreal","polygynous","Folivore","Other","Madagascar","endangered"
"38","Propithecus_diadema",5.015555556,4.371428571,980.81125,36.971,6.421,1.018087582,"diurnal","forest","arboreal","polygynous","Folivore","Other","Madagascar","endangered"
"39","Propithecus_diadema",5.015555556,4.371428571,980.81125,36.971,6.421,1.018087582,"diurnal","forest","arboreal","polygynous","Folivore","Other","Madagascar","endangered"
"40","Otolemur_crassicaudatus",1.15,NA,NA,8.5,14,1.072072072,"nocturnal","forest_savanna_shrubland","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"41","Saguinus_fuscicollis",0.35,6.07375,1610.75,59.01111111,4.066666667,0.979744936,"diurnal","forest_wetlands","arboreal","monogamy","Non-Folivore","Other","Neotropics","least concern"
"42","Saguinus_fuscicollis",0.35,6.07375,1610.75,59.01111111,4.066666667,0.979744936,"diurnal","forest_wetlands","arboreal","monogamy","Non-Folivore","Other","Neotropics","least concern"
"43","Callithrix_jacchus",0.356666667,7.695,1051.816,15.600125,10.75,1.090368609,"diurnal","forest_savanna","arboreal","monogamy","Non-Folivore","Other","Neotropics","least concern"
"44","Galagoides_demidoff",0.23625,2.777777778,NA,1.6,NA,1.007297552,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"45","Cercopithecus_aethiops",4.704444444,25.7328,2379.125,59.85777778,6.580714286,1.505456349,"diurnal","forest_savanna_shrubland","terrestrial","multimale-multifemale","Non-Folivore","Other","M_Africa","least concern"
"46","Cheirogaleus_medius",0.176666667,4.5,767.2,2.053333333,NA,0.979674797,"nocturnal","forest","arboreal","monogamy","Folivore","Other","Madagascar","least concern"
"47","Ateles_geoffroyi",7.54,42.9,2229.615,388.0971429,6.65,1.044587773,"diurnal","forest","arboreal","multimale-multifemale","Non-Folivore","Other","Neotropics","endangered"
"48","Colobus_polykomos",8.39,12.975,534.1666667,55.3,2.475,1.210526316,"diurnal","forest_savanna","arboreal","multimale-multifemale","Folivore","Other","M_Africa","vulnerable"
"49","Cebus_apella",2.908333333,13.7,2361.778,337.248,3.63,1.50156041,"diurnal","forest_savanna","arboreal","multimale-multifemale","Non-Folivore","Other","Neotropics","least concern"
"50","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"51","Galagoides_demidoff",0.23625,2.777777778,NA,1.6,NA,1.007297552,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"52","Cebus_apella",2.908333333,13.7,2361.778,337.248,3.63,1.50156041,"diurnal","forest_savanna","arboreal","multimale-multifemale","Non-Folivore","Other","Neotropics","least concern"
"53","Cheirogaleus_medius",0.176666667,4.5,767.2,2.053333333,NA,0.979674797,"nocturnal","forest","arboreal","monogamy","Folivore","Other","Madagascar","least concern"
"54","Papio_papio",17.5,195.75,8000,3250,11.3,1.916666667,"diurnal","forest_savanna_grassland","terrestrial","polygynous","Non-Folivore","Omnivore/Insectivore","M_Africa","near threatened"
"55","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"56","Colobus_badius",7.826153846,32.94153846,666.8090909,81.54,6.75,1.328602642,"diurnal","forest_savanna_shrubland_wetlands","arboreal","multimale-multifemale","Folivore","Other","M_Africa","least concern"
"57","Macaca_fascicularis",4.03,38.525,1602.9,95,10.7,1.50621118,"diurnal","forest_wetlands","arboreal","multimale-multifemale","Non-Folivore","Other","Asia","least concern"
"58","Cheirogaleus_medius",0.176666667,4.5,767.2,2.053333333,NA,0.979674797,"nocturnal","forest","arboreal","monogamy","Folivore","Other","Madagascar","least concern"
"59","Papio_ursinus",22.3,43.425,4400,1208.295,NA,2.013513514,"diurnal","forest_savanna_shrubland_grassland_rocky.areas_desert","terrestrial","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"60","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"61","Papio_anubis",16.65,40.525,3384.25,2260,13.2,1.729508197,"diurnal","forest_savanna_shrubland_grassland","terrestrial","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"62","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"63","Cebus_apella",2.908333333,13.7,2361.778,337.248,3.63,1.50156041,"diurnal","forest_savanna","arboreal","multimale-multifemale","Non-Folivore","Other","Neotropics","least concern"
"64","Macaca_silenus",7.5,19,2000,251.8266667,7.3,1.459016393,"diurnal","forest","arboreal","multimale-multifemale","Non-Folivore","Other","Asia","endangered"
"65","Galagoides_demidoff",0.23625,2.777777778,NA,1.6,NA,1.007297552,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"66","Pygathrix_roxellana",13.615,181.3571429,1293.6575,2041.2,10.495,1.525974026,"diurnal","forest","both","polygynous","Folivore","Other","Asia","endangered"
"67","Papio_papio",17.5,195.75,8000,3250,11.3,1.916666667,"diurnal","forest_savanna_grassland","terrestrial","polygynous","Non-Folivore","Omnivore/Insectivore","M_Africa","near threatened"
"68","Saguinus_leucopus",0.49,5.233333333,1221,34.795,10,1.008163265,"diurnal","forest","arboreal","monogamy","Non-Folivore","Other","Neotropics","endangered"
"69","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"70","Galagoides_demidoff",0.23625,2.777777778,NA,1.6,NA,1.007297552,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"71","Papio_hamadryas",13.4,100.825,9625,1865,20,1.707070707,"diurnal","shrubland_grassland_rocky.areas","terrestrial","polygynous","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"72","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"73","Cercocebus_galeritus",8.514,29.65,1653.625,200.675,11.27142857,1.745784148,"diurnal","forest","both","multimale-multifemale","Non-Folivore","Other","M_Africa","least concern"
"74","Colobus_guereza",8.89,8.375,475.6,17.885,8.25,1.251898734,"diurnal","forest","arboreal","polygynous","Folivore","Other","M_Africa","least concern"
"75","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"76","Aotus_trivirgatus",0.74,3.12,642,7.184857143,3,1.048160697,"nocturnal","forest_savanna","arboreal","monogamy","Non-Folivore","Other","Neotropics","least concern"
"77","Colobus_polykomos",8.39,12.975,534.1666667,55.3,2.475,1.210526316,"diurnal","forest_savanna","arboreal","multimale-multifemale","Folivore","Other","M_Africa","vulnerable"
"78","Macaca_fascicularis",4.03,38.525,1602.9,95,10.7,1.50621118,"diurnal","forest_wetlands","arboreal","multimale-multifemale","Non-Folivore","Other","Asia","least concern"
"79","Colobus_badius",7.826153846,32.94153846,666.8090909,81.54,6.75,1.328602642,"diurnal","forest_savanna_shrubland_wetlands","arboreal","multimale-multifemale","Folivore","Other","M_Africa","least concern"
"80","Colobus_guereza",8.89,8.375,475.6,17.885,8.25,1.251898734,"diurnal","forest","arboreal","polygynous","Folivore","Other","M_Africa","least concern"
"81","Cercopithecus_aethiops",4.704444444,25.7328,2379.125,59.85777778,6.580714286,1.505456349,"diurnal","forest_savanna_shrubland","terrestrial","multimale-multifemale","Non-Folivore","Other","M_Africa","least concern"
"82","Cebus_apella",2.908333333,13.7,2361.778,337.248,3.63,1.50156041,"diurnal","forest_savanna","arboreal","multimale-multifemale","Non-Folivore","Other","Neotropics","least concern"
"83","Mirza_coquereli",0.303333333,NA,NA,2.72,NA,0.982378855,"nocturnal","forest","arboreal","","Non-Folivore","Omnivore/Insectivore","Madagascar","endangered"
"84","Galagoides_demidoff",0.23625,2.777777778,NA,1.6,NA,1.007297552,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"85","Galagoides_demidoff",0.23625,2.777777778,NA,1.6,NA,1.007297552,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"86","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"87","Pan_paniscus",39.1,11.23666667,2000,4000,NA,1.355421687,"diurnal","forest","both","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","endangered"
"88","Alouatta_villosa",6.56,6.13375,476.125,11.98,2.866666667,1.338266762,"diurnal","forest","arboreal","multimale-multifemale","Folivore","Other","Neotropics","endangered"
"89","Hylobates_lar",5.83,3.910588235,1427,37,8.4,1.003190184,"diurnal","forest","arboreal","monogamy","Non-Folivore","Other","Asia","endangered"
"90","Cercocebus_galeritus",8.514,29.65,1653.625,200.675,11.27142857,1.745784148,"diurnal","forest","both","multimale-multifemale","Non-Folivore","Other","M_Africa","least concern"
"91","Microcebus_murinus",0.048769231,2,1468.5,1.935384615,5,0.922264844,"nocturnal","forest_shrubland","arboreal","dispersed","Non-Folivore","Other","Madagascar","least concern"
"92","Saimiri_boliviensis",0.84,41.66666667,NA,227.5,3.45,1.407142857,"diurnal","forest","arboreal","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","Neotropics","least concern"
"93","Perodicticus_potto",0.960333333,2,2497,58.63333333,28,1.076303815,"nocturnal","forest_wetlands","arboreal","dispersed","Non-Folivore","Other","M_Africa","least concern"
"94","Lemur_catta",2.21,12.81428571,1050,13.05333333,7,1,"diurnal","forest_shrubland","both","multimale-multifemale","Folivore","Other","Madagascar","endangered"
"95","Indri_indri",6.465,2.447777778,300,18.625,NA,0.801457976,"diurnal","forest","arboreal","monogamy","Folivore","Other","Madagascar","endangered"
"96","Varecia_variegata",3.4075,8.7075,1041.658,76.544,4.782222222,1.027181688,"diurnal","forest","arboreal","monogamy","Non-Folivore","Other","Madagascar","endangered"
"97","Galagoides_demidoff",0.23625,2.777777778,NA,1.6,NA,1.007297552,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"98","Galagoides_demidoff",0.23625,2.777777778,NA,1.6,NA,1.007297552,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"99","Galagoides_demidoff",0.23625,2.777777778,NA,1.6,NA,1.007297552,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"100","Lemur_catta",2.21,12.81428571,1050,13.05333333,7,1,"diurnal","forest_shrubland","both","multimale-multifemale","Folivore","Other","Madagascar","endangered"
"101","Galagoides_demidoff",0.23625,2.777777778,NA,1.6,NA,1.007297552,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"102","Lemur_catta",2.21,12.81428571,1050,13.05333333,7,1,"diurnal","forest_shrubland","both","multimale-multifemale","Folivore","Other","Madagascar","endangered"
"103","Macaca_fascicularis",4.03,38.525,1602.9,95,10.7,1.50621118,"diurnal","forest_wetlands","arboreal","multimale-multifemale","Non-Folivore","Other","Asia","least concern"
"104","Alouatta_palliata",6.12,13.898,329.9566667,43.94333333,1,1.23068218,"diurnal","forest","arboreal","multimale-multifemale","Folivore","Other","Neotropics","least concern"
"105","Galagoides_demidoff",0.23625,2.777777778,NA,1.6,NA,1.007297552,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"106","Galagoides_demidoff",0.23625,2.777777778,NA,1.6,NA,1.007297552,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"107","Alouatta_seniculus",6.285,8.684761905,729.8,16.64,2.833333333,1.325707023,"diurnal","forest_savanna","arboreal","polygynous","Folivore","Other","Neotropics","least concern"
"108","Gorilla_gorilla",126.25,9.244117647,989.1,1601.277778,3.6,1.915704388,"diurnal","forest","both","polygynous","Folivore","Other","M_Africa","endangered"
"109","Propithecus_diadema",5.015555556,4.371428571,980.81125,36.971,6.421,1.018087582,"diurnal","forest","arboreal","polygynous","Folivore","Other","Madagascar","endangered"
"110","Colobus_guereza",8.89,8.375,475.6,17.885,8.25,1.251898734,"diurnal","forest","arboreal","polygynous","Folivore","Other","M_Africa","least concern"
"111","Presbytis_cristata",7.16,20.63333333,487,43.65625,6.666666667,1.19550173,"diurnal","forest_wetlands","arboreal","polygynous","Folivore","Other","Asia","near threatened"
"112","Indri_indri",6.465,2.447777778,300,18.625,NA,0.801457976,"diurnal","forest","arboreal","monogamy","Folivore","Other","Madagascar","endangered"
"113","Propithecus_diadema",5.015555556,4.371428571,980.81125,36.971,6.421,1.018087582,"diurnal","forest","arboreal","polygynous","Folivore","Other","Madagascar","endangered"
"114","Colobus_badius",7.826153846,32.94153846,666.8090909,81.54,6.75,1.328602642,"diurnal","forest_savanna_shrubland_wetlands","arboreal","multimale-multifemale","Folivore","Other","M_Africa","least concern"
"115","Presbytis_cristata",7.16,20.63333333,487,43.65625,6.666666667,1.19550173,"diurnal","forest_wetlands","arboreal","polygynous","Folivore","Other","Asia","near threatened"
"116","Presbytis_cristata",7.16,20.63333333,487,43.65625,6.666666667,1.19550173,"diurnal","forest_wetlands","arboreal","polygynous","Folivore","Other","Asia","near threatened"
"117","Colobus_badius",7.826153846,32.94153846,666.8090909,81.54,6.75,1.328602642,"diurnal","forest_savanna_shrubland_wetlands","arboreal","multimale-multifemale","Folivore","Other","M_Africa","least concern"
"118","Cercopithecus_ascanius",3.24,21,1668,41.25,3.933333333,1.322580645,"diurnal","forest","arboreal","polygynous","Non-Folivore","Other","M_Africa","least concern"
"119","Cercocebus_galeritus",8.514,29.65,1653.625,200.675,11.27142857,1.745784148,"diurnal","forest","both","multimale-multifemale","Non-Folivore","Other","M_Africa","least concern"
"120","Pan_troglodytes",53.7,48.44416667,2225,1916.47,14.05,1.265822785,"diurnal","forest_savanna","both","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","endangered"
"121","Cercopithecus_mitis",5.456666667,19.625,624.9857143,64.218,5.92,1.980874317,"diurnal","forest","arboreal","polygynous","Non-Folivore","Other","M_Africa","least concern"
"122","Pan_troglodytes",53.7,48.44416667,2225,1916.47,14.05,1.265822785,"diurnal","forest_savanna","both","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","endangered"
"123","Cercopithecus_diana",4.525,21.3,1441,115,1.2,1.333333333,"diurnal","forest","arboreal","polygynous","Non-Folivore","Other","M_Africa","vulnerable"
"124","Cercocebus_albigena",6.6525,17.96,1137,170.8333333,6.5,1.395317425,"diurnal","forest","arboreal","multimale-multifemale","Non-Folivore","Other","M_Africa","least concern"
"125","Pan_troglodytes",53.7,48.44416667,2225,1916.47,14.05,1.265822785,"diurnal","forest_savanna","both","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","endangered"
"126","Colobus_guereza",8.89,8.375,475.6,17.885,8.25,1.251898734,"diurnal","forest","arboreal","polygynous","Folivore","Other","M_Africa","least concern"
"127","Aotus_azarae",0.94,3.68,568.0625,6.9825,1.4,0.865789474,"nocturnal","forest_savanna","arboreal","monogamy","Non-Folivore","Other","Neotropics","least concern"
"128","Alouatta_palliata",6.12,13.898,329.9566667,43.94333333,1,1.23068218,"diurnal","forest","arboreal","multimale-multifemale","Folivore","Other","Neotropics","least concern"
"129","Cercopithecus_petaurista",3.65,10.6,1051,65.1875,4.15,1.517241379,"diurnal","forest_shrubland","arboreal","polygynous","Folivore","Other","M_Africa","least concern"
"130","Pan_troglodytes",53.7,48.44416667,2225,1916.47,14.05,1.265822785,"diurnal","forest_savanna","both","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","endangered"
"131","Colobus_polykomos",8.39,12.975,534.1666667,55.3,2.475,1.210526316,"diurnal","forest_savanna","arboreal","multimale-multifemale","Folivore","Other","M_Africa","vulnerable"
"132","Pan_troglodytes",53.7,48.44416667,2225,1916.47,14.05,1.265822785,"diurnal","forest_savanna","both","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","endangered"
"133","Colobus_guereza",8.89,8.375,475.6,17.885,8.25,1.251898734,"diurnal","forest","arboreal","polygynous","Folivore","Other","M_Africa","least concern"
"134","Colobus_guereza",8.89,8.375,475.6,17.885,8.25,1.251898734,"diurnal","forest","arboreal","polygynous","Folivore","Other","M_Africa","least concern"
"135","Colobus_polykomos",8.39,12.975,534.1666667,55.3,2.475,1.210526316,"diurnal","forest_savanna","arboreal","multimale-multifemale","Folivore","Other","M_Africa","vulnerable"
"136","Gorilla_gorilla",126.25,9.244117647,989.1,1601.277778,3.6,1.915704388,"diurnal","forest","both","polygynous","Folivore","Other","M_Africa","endangered"
"137","Colobus_guereza",8.89,8.375,475.6,17.885,8.25,1.251898734,"diurnal","forest","arboreal","polygynous","Folivore","Other","M_Africa","least concern"
"138","Pan_troglodytes",53.7,48.44416667,2225,1916.47,14.05,1.265822785,"diurnal","forest_savanna","both","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","endangered"
"139","Alouatta_villosa",6.56,6.13375,476.125,11.98,2.866666667,1.338266762,"diurnal","forest","arboreal","multimale-multifemale","Folivore","Other","Neotropics","endangered"
"140","Macaca_fascicularis",4.03,38.525,1602.9,95,10.7,1.50621118,"diurnal","forest_wetlands","arboreal","multimale-multifemale","Non-Folivore","Other","Asia","least concern"
"141","Pan_troglodytes",53.7,48.44416667,2225,1916.47,14.05,1.265822785,"diurnal","forest_savanna","both","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","endangered"
"142","Cercocebus_torquatus",7.793333333,20.7,1400,315.8,7.9,1.780952381,"diurnal","forest_savanna","both","multimale-multifemale","Non-Folivore","Other","M_Africa","near threatened"
"143","Cercopithecus_ascanius",3.24,21,1668,41.25,3.933333333,1.322580645,"diurnal","forest","arboreal","polygynous","Non-Folivore","Other","M_Africa","least concern"
"144","Colobus_badius",7.826153846,32.94153846,666.8090909,81.54,6.75,1.328602642,"diurnal","forest_savanna_shrubland_wetlands","arboreal","multimale-multifemale","Folivore","Other","M_Africa","least concern"
"145","Pan_troglodytes",53.7,48.44416667,2225,1916.47,14.05,1.265822785,"diurnal","forest_savanna","both","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","endangered"
"146","Colobus_polykomos",8.39,12.975,534.1666667,55.3,2.475,1.210526316,"diurnal","forest_savanna","arboreal","multimale-multifemale","Folivore","Other","M_Africa","vulnerable"
"147","Alouatta_palliata",6.12,13.898,329.9566667,43.94333333,1,1.23068218,"diurnal","forest","arboreal","multimale-multifemale","Folivore","Other","Neotropics","least concern"
"148","Gorilla_gorilla",126.25,9.244117647,989.1,1601.277778,3.6,1.915704388,"diurnal","forest","both","polygynous","Folivore","Other","M_Africa","endangered"
"149","Pan_troglodytes",53.7,48.44416667,2225,1916.47,14.05,1.265822785,"diurnal","forest_savanna","both","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","endangered"
"150","Procolobus_verus",4.45,18.61428571,1212,43.3,4.35,1.119047619,"diurnal","forest","arboreal","multimale-multifemale","Folivore","Other","M_Africa","near threatened"
"151","Cercopithecus_campbelli",3.75,14.75,1155,34.59375,8.933333333,1.830188679,"diurnal","forest_savanna","arboreal","polygynous","Non-Folivore","Other","M_Africa","least concern"
"152","Presbytis_cristata",7.16,20.63333333,487,43.65625,6.666666667,1.19550173,"diurnal","forest_wetlands","arboreal","polygynous","Folivore","Other","Asia","near threatened"
"153","Presbytis_cristata",7.16,20.63333333,487,43.65625,6.666666667,1.19550173,"diurnal","forest_wetlands","arboreal","polygynous","Folivore","Other","Asia","near threatened"
"154","Cacajao_calvus",3.17,33.65,1003.65,1746.5,NA,1.197916667,"diurnal","forest","arboreal","multimale-multifemale","Non-Folivore","Other","Neotropics","vulnerable"
"155","Macaca_silenus",7.5,19,2000,251.8266667,7.3,1.459016393,"diurnal","forest","arboreal","multimale-multifemale","Non-Folivore","Other","Asia","endangered"
"156","Macaca_silenus",7.5,19,2000,251.8266667,7.3,1.459016393,"diurnal","forest","arboreal","multimale-multifemale","Non-Folivore","Other","Asia","endangered"
"157","Pan_troglodytes",53.7,48.44416667,2225,1916.47,14.05,1.265822785,"diurnal","forest_savanna","both","multimale-multifemale","Non-Folivore","Omnivore/Insectivore","M_Africa","endangered"
