"","HostCorrectedName","bodymass_kg","mean_groupsize","mean_dayrange_meters","homerange_ha","social_time","SSD","diel_activity","habitat_category","locomotion","mating_system","trophic_folivore","trophic_Omnivore","realm","iucn"
"465","Propithecus_diadema",5.015555556,4.371428571,980.81125,36.971,6.421,1.018087582,"diurnal","forest","arboreal","polygynous","Folivore","Other","Madagascar","endangered"
"466","Propithecus_diadema",5.015555556,4.371428571,980.81125,36.971,6.421,1.018087582,"diurnal","forest","arboreal","polygynous","Folivore","Other","Madagascar","endangered"
"467","Galagoides_demidoff",0.23625,2.777777778,NA,1.6,NA,1.007297552,"nocturnal","forest","arboreal","dispersed","Non-Folivore","Omnivore/Insectivore","M_Africa","least concern"
"468","Avahi_laniger",1.020666667,2.128571429,527.575,2.234,2.615,0.860992908,"nocturnal","forest","arboreal","monogamy","Folivore","Other","Madagascar","vulnerable"
"469","Propithecus_diadema",5.015555556,4.371428571,980.81125,36.971,6.421,1.018087582,"diurnal","forest","arboreal","polygynous","Folivore","Other","Madagascar","endangered"
"470","Lemur_catta",2.21,12.81428571,1050,13.05333333,7,1,"diurnal","forest_shrubland","both","multimale-multifemale","Folivore","Other","Madagascar","endangered"
"471","Propithecus_diadema",5.015555556,4.371428571,980.81125,36.971,6.421,1.018087582,"diurnal","forest","arboreal","polygynous","Folivore","Other","Madagascar","endangered"
"472","Propithecus_verreauxi",3.22,4.739285714,938.3333333,7.076428571,4.7,1.010784527,"diurnal","forest_shrubland","arboreal","multimale-multifemale","Folivore","Other","Madagascar","endangered"
"473","Propithecus_verreauxi",3.22,4.739285714,938.3333333,7.076428571,4.7,1.010784527,"diurnal","forest_shrubland","arboreal","multimale-multifemale","Folivore","Other","Madagascar","endangered"
"474","Varecia_variegata",3.4075,8.7075,1041.658,76.544,4.782222222,1.027181688,"diurnal","forest","arboreal","monogamy","Non-Folivore","Other","Madagascar","endangered"
"475","Propithecus_diadema",5.015555556,4.371428571,980.81125,36.971,6.421,1.018087582,"diurnal","forest","arboreal","polygynous","Folivore","Other","Madagascar","endangered"
"476","Propithecus_verreauxi",3.22,4.739285714,938.3333333,7.076428571,4.7,1.010784527,"diurnal","forest_shrubland","arboreal","multimale-multifemale","Folivore","Other","Madagascar","endangered"
"477","Propithecus_diadema",5.015555556,4.371428571,980.81125,36.971,6.421,1.018087582,"diurnal","forest","arboreal","polygynous","Folivore","Other","Madagascar","endangered"
"478","Indri_indri",6.465,2.447777778,300,18.625,NA,0.801457976,"diurnal","forest","arboreal","monogamy","Folivore","Other","Madagascar","endangered"
"479","Indri_indri",6.465,2.447777778,300,18.625,NA,0.801457976,"diurnal","forest","arboreal","monogamy","Folivore","Other","Madagascar","endangered"
"480","Lepilemur_mustelinus",0.861177778,1.2725,525.2,1.655625,23.3,1.01852647,"nocturnal","forest","arboreal","monogamy","Folivore","Other","Madagascar","near threatened"
"481","Varecia_variegata",3.4075,8.7075,1041.658,76.544,4.782222222,1.027181688,"diurnal","forest","arboreal","monogamy","Non-Folivore","Other","Madagascar","endangered"
"482","Propithecus_diadema",5.015555556,4.371428571,980.81125,36.971,6.421,1.018087582,"diurnal","forest","arboreal","polygynous","Folivore","Other","Madagascar","endangered"
