HostCorrectedName,habitat_forest,habitat_savanna,habitat_shrubland,habitat_grassland,habitat_wetlands,habitat_rocky_areas,habitat_desert,total_estrada_species,Centroid_Longitude,Centroid_Latitude,Total_Geographic_Area,Minimum_Longitude,Minimum_Latitude,Maximum_Longitude,Maximum_Latitude,Arthropod,Bacteria,Protozoa,Fungus,Virus,Helminth,NoEntry,Vector,Direct,Indirect,Sexual,Vertical,CloseT,Nonclose,Intermediate,Citation,TotalCount,Mean_Percent_Social_Activity_Time,Min_Social_Activity_Time_Range,Max_Social_Activity_Time_Range,trophic_folivore,trophic_Omnivore,trophic_count,pop_trend,bodymass_kg,femalebodymass_kg,malebodymass_kg,homerange_ha,mean_groupsize,Male.residual,Female.Residual,GCDI,mean_dayrange_meters,locomotion,habitat_count,habitat_category,diel_activity,iucn,realm,mating_system,parasite_type,parasite_type_count,transmission_type,transmission_type_count,lifecycle_type,lifecycle_type_count,Degree_Centrality_Integer,population_density_sqkm_mean,Population.Dens.from.Nunn.unpubl..database,SSD,homerange_mean_m2,d_index,TotalCount_imputed
Papio_cynocephalus,1,1,0.5,0,0,0,0,2,29.32561399,-8.469795471,353.488597,12.27004242,-18.52959296,46.40852453,6.092073123,17,24,31,0,17,63,0,17,108,66,24,8,69,66,28,28,68,12.19,,,Non-Folivore,Other,2,S,15.025,11.1,18.9,1654.2,65,0.394,-0.444,0.632,5150,terrestrial,3,forest_savanna_shrubland,diurnal,least concern,M_Africa,multimale-multifemale,Arthropod_Bacteria_Protozoa_Virus_Helminth,5,Vector_Sexual_Vertical_CloseT_Nonclose_Intermediate,6,Direct_Indirect,2,68,,20.8,1.702702703,16542000,1.122168727,225
Papio_hamadryas,0,0,1,1,0,1,0,1,42.05892691,12.03516647,50.7448552,37.27227291,4.391662724,46.73071671,18.0612748,0,0,34,0,2,30,0,1,50,16,1,1,25,49,14,7,21,20,,,Non-Folivore,Omnivore/Insectivore,1,I,13.4,9.9,16.9,1865,100.825,0.56,-0.283,,9625,terrestrial,3,shrubland_grassland_rocky.areas,diurnal,least concern,M_Africa,polygynous,Protozoa_Virus_Helminth,3,Vector_Sexual_Vertical_CloseT_Nonclose_Intermediate,6,Direct_Indirect,2,21,,1.8,1.707070707,18650000,1.975178096,225
Papio_papio,1,1,0,1,0,0,0,1,-13.11844758,13.63430667,36.95506702,-16.82507896,9.049798965,-10.45183754,18.63408852,2,2,6,0,5,20,0,5,22,16,4,2,13,17,9,12,27,11.3,,,Non-Folivore,Omnivore/Insectivore,1,,17.5,12,23,3250,195.75,,,,8000,terrestrial,3,forest_savanna_grassland,diurnal,near threatened,M_Africa,polygynous,Arthropod_Bacteria_Protozoa_Virus_Helminth,5,Vector_Sexual_Vertical_CloseT_Nonclose_Intermediate,6,Direct_Indirect,2,27,,10.9,1.916666667,32500000,1.243635891,225
Papio_ursinus,1,1,1,1,0,1,1,1,24.18415544,-23.70239767,297.7428087,11.9862168,-34.83982849,36.2347094,-13.63917599,17,7,33,0,29,87,0,5,118,69,18,18,71,83,45,41,64,,,,Non-Folivore,Omnivore/Insectivore,1,S,22.3,14.8,29.8,1208.295,43.425,,,,4400,terrestrial,6,forest_savanna_shrubland_grassland_rocky.areas_desert,diurnal,least concern,M_Africa,multimale-multifemale,Arthropod_Bacteria_Protozoa_Virus_Helminth,5,Vector_Sexual_Vertical_CloseT_Nonclose_Intermediate,6,Direct_Indirect,2,64,,8.3,2.013513514,12082950,1.121788873,225
Perodicticus_potto,1,0,0,0,0.666666667,0,0,3,15.74330785,0.182141968,326.6031663,-13.29715347,-11.91411632,37.5003729,9.146502683,1,0,10,0,0,2,0,9,1,13,0,0,0,1,2,6,8,28,28,0,Non-Folivore,Other,2,S,0.960333333,0.952333333,1.025,58.63333333,2,0.089,0.065,,2497,arboreal,2,forest_wetlands,nocturnal,least concern,M_Africa,dispersed,Arthropod_Protozoa_Helminth,3,Vector_Nonclose_Intermediate,3,Direct_Indirect,2,8,,13.4,1.076303815,586333.3333,2.889955734,116
Phaner_furcifer,1,0,0,0,0,0,0,4,46.29405408,-18.35433197,6.397577673,43.2248764,-23.24846441,50.48377991,-12.31566441,,,,,,,,,,,,,,,,0,,1.2,,,Non-Folivore,Other,3,D,0.3695,0.3505,0.3275,4.11,2.195,,,,3153.74,arboreal,1,forest,nocturnal,vulnerable,Madagascar,monogamy,,0,,0,,0,,,328,0.929770992,41100,13.78636956,
Pithecia_albicans,1,0,0,0,0,0,0,1,-63.75972577,-4.598474886,5.148635024,-65.86056519,-5.744411312,-61.3691,-2.840833664,,,,,,,,,,,,,,,,0,,,,,Non-Folivore,Other,1,D,3,,3,172.4,4.6,,,,,arboreal,1,forest,diurnal,least concern,Neotropics,,,0,,0,,0,,,4.1,,1724000,,
Pithecia_hirsuta,0,0,0,0,0,0,0,1,-71.52910888,-2.22434707,13.77610642,-75.08475379,-4.102003439,-67.20013344,-0.516504646,,,,,,,,,,,,,,,,0,,,,,Non-Folivore,Other,1,,,,,24.9,,,,,,arboreal,0,,diurnal,endangered,Neotropics,,,0,,0,,0,,,12.8,,249000,,
Pithecia_monachus,0.25,0,0,0,0.166666667,0,0,12,-65.9443256,-7.791628151,168.2623779,-78.37243713,-17.73225403,-55.0738,-0.364459269,0,0,7,0,0,2,0,7,2,7,0,0,2,2,0,5,7,5,,,Non-Folivore,Other,2,D,2.256666667,2.09,2.43,32.55,3.415555556,,,,1403,arboreal,2,forest_wetlands,diurnal,least concern,Neotropics,monogamy,Protozoa_Helminth,2,Vector_CloseT_Nonclose,3,Direct_Indirect,2,7,,,1.162679426,325500,2.179350665,7
Pithecia_pithecia,0.5,0,0,0,0.5,0,0,2,-56.63087036,2.46590274,81.48166296,-63.80157721,-3.326802033,-50.67743683,8.653055191,2,1,6,1,3,4,1,12,4,13,0,0,3,3,0,12,13,,,,Non-Folivore,Other,1,,1.83,1.74,1.92,26.175,4.675,,,0.198,970.175,arboreal,2,forest_wetlands,diurnal,least concern,Neotropics,monogamy,Arthropod_Bacteria_Protozoa_Fungus_Virus_Helminth_NoEntry,7,Vector_CloseT_Nonclose,3,Direct_Indirect,2,12,,3.6,1.103448276,261750,1.680550916,128
Pongo_pygmaeus,1,0,0,0,0,0,0,2,112.4207051,0.26873145,19.86831859,96.34213322,-3.570055485,118.9622227,6.258718957,0,1,16,0,25,21,0,17,37,25,4,3,25,28,7,18,33,0.89,,,Non-Folivore,Other,1,D,56.95,35.7,78.2,418,1.311666667,-0.094,-0.35,0.376,669.3333333,arboreal,1,forest,diurnal,endangered,Asia,dispersed,Bacteria_Protozoa_Virus_Helminth,4,Vector_Sexual_Vertical_CloseT_Nonclose_Intermediate,6,Direct_Indirect,2,33,2.98,3.1,2.19047619,4180000,0.29013442,145
Presbytis_comata,1,0,0,0,0,0,0,5,112.1280055,2.775378497,27.19630767,95.18967438,-7.747111992,119.2675018,7.035139561,,,,,,,,,,,,,,,,0,,4.533333333,,,Folivore,Other,2,D,6.271,6.076,6.466,43.566,7.445454545,,,,650.6,arboreal,1,forest,diurnal,vulnerable,Asia,,,0,,0,,0,,,,1.064186965,435660,0.873544746,
Presbytis_cristata,1,0,0,0,0.142857143,0,0,7,108.4198589,2.540861173,139.5268889,95.18967438,-8.961386677,119.2675018,17.0340053,1,0,10,0,2,34,0,27,13,35,0,0,9,11,7,16,24,6.666666667,,,Folivore,Other,2,D,7.16,5.78,6.91,43.65625,20.63333333,0.308,-0.201,0.281,487,arboreal,2,forest_wetlands,diurnal,near threatened,Asia,polygynous,Arthropod_Protozoa_Virus_Helminth,4,Vector_CloseT_Nonclose_Intermediate,4,Direct_Indirect,2,24,,145,1.19550173,436562.5,0.653206786,139
Presbytis_entellus,1,0.166666667,0.5,0,0,0.166666667,0,6,81.83136699,22.67312685,104.773554,69.14317568,6.102225526,90.04390554,35.68684383,1,2,10,0,10,5,0,10,18,12,0,0,13,13,0,18,17,,,,Folivore,Other,2,D,15.398,12.285,16.19166667,268.4458333,34.75,0.264,-0.168,0.415,853.25,both,4,forest_savanna_shrubland_rocky.areas,diurnal,least concern,Asia,polygynous,Arthropod_Bacteria_Protozoa_Virus_Helminth,5,Vector_CloseT_Nonclose,3,Direct_Indirect,2,17,,52,1.318002985,2684458.333,0.461522527,134
Presbytis_francoisi,1,0,0.333333333,0,0,0.333333333,0,6,106.9914884,24.90891192,24.50361791,104.0324707,16.43816567,109.8833989,29.78822439,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,18.6,7.7,5.3,Folivore,Other,2,D,8.022777778,7.444,8.5,58.325,8.711304348,,,,690.2857143,both,3,forest_shrubland_rocky.areas,diurnal,endangered,Asia,polygynous,Helminth,1,Intermediate,1,Indirect,1,1,,,1.141859215,583250,0.801025704,130
Presbytis_frontata,1,0,0,0,0,0,0,1,114.7756133,0.60415653,25.37946112,109.977562,-3.931849252,118.4246902,3.88102007,,,,,,,,,,,,,,,,0,,,,,Folivore,Other,1,D,5.61,5.67,5.56,200,4.61,,,,,arboreal,1,forest,diurnal,vulnerable,Asia,,,0,,0,,0,,,5.7,0.980215827,2000000,,
Presbytis_geei,1,0,0,0,0,0,0,1,90.45379017,26.77912999,0.672802892,89.87347412,26.24847412,90.91772461,27.41247559,,,,,,,,,,,,,,,,0,,4.45,,,Folivore,Other,1,D,10.15,9.5,10.8,208.25,7.9,,,,430.5,arboreal,1,forest,diurnal,endangered,Asia,,,0,,0,,0,,,,1.136842105,2082500,0.26437817,
Presbytis_johnii,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,Folivore,Other,1,D,11.6,11.2,12,355.715,,,,,,arboreal,1,forest,diurnal,vulnerable,Asia,polygynous,,0,,0,,0,,,,1.071428571,3557150,,
Presbytis_laotum,1,0,0,0,0,1,0,1,104.5926601,18.20597204,0.477612648,104.1398773,17.64767278,105.0277117,18.79343796,,,,,,,,,,,,,,,,0,,,,,Folivore,Other,1,D,7,6.5,7.5,,17,,,,,both,2,forest_rocky.areas,diurnal,vulnerable,Asia,,,0,,0,,0,,,,1.153846154,,,
Presbytis_melalophos,1,0,0.25,0.125,0.125,0,0,8,102.4665125,1.806391055,51.6768442,97.99709552,-5.945017338,116.0671891,13.51973438,0,0,3,0,1,4,0,8,0,8,0,0,0,0,0,6,6,,,,Folivore,Other,2,D,6.64375,6.526666667,6.508333333,23.15,4.055555556,0.091,-0.427,0.224,936,arboreal,4,forest_shrubland_grassland_wetlands,diurnal,near threatened,Asia,polygynous,Protozoa_Virus_Helminth,3,Vector,1,Indirect,1,6,,49.5,0.997183099,231500,1.724031878,129
Presbytis_obscura,1,0,0,0,0,0,0,1,100.7921849,7.149596296,21.28534908,97.7707,1.261635593,104.3023,15.18813559,0,0,2,0,0,8,0,6,4,6,0,0,4,4,0,9,4,,,,Folivore,Other,1,D,6.99,6.22,7.77,30.5,14.54,0.152,-0.377,0.316,756.3333333,arboreal,1,forest,diurnal,near threatened,Asia,polygynous,Protozoa_Helminth,2,Vector_CloseT_Nonclose,3,Direct_Indirect,2,4,,31,1.249196141,305000,1.213691365,134
Presbytis_phayrei,1,0.5,0,0,0,0,0,2,99.19065252,20.0301299,99.2177074,90.56632995,14.38750268,106.5153274,26.80056202,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,3,2,29.5,,,Folivore,Other,2,D,7.045,6.675,7.415,235.48,11.35,,,,1,arboreal,2,forest_savanna,diurnal,endangered,Asia,polygynous,Helminth,1,CloseT_Nonclose,2,Direct,1,2,,,1.110861423,2354800,0.000577521,131
Presbytis_pileata,1,0,0,0,0,0,0,2,93.38112683,24.6019922,28.16511756,89.74033998,20.42004209,98.71313188,28.2444179,,,,,,,,,,,,,,,,0,,4.45,,,Folivore,Other,1,D,10.93,9.86,12,18,8.345,,,,344,arboreal,1,forest,diurnal,vulnerable,Asia,,,0,,0,,0,,,,1.21703854,180000,0.718566772,
Presbytis_potenziani,1,0,0,0,0.5,0,0,2,99.32542116,-1.851900247,0.488091616,98.58380127,-3.349012613,100.4758072,-0.916830599,,,,,,,,,,,,,,,,0,,1,,,Folivore,Other,1,D,6.36,6.405,6.32,21,2,0.088,-0.257,0.171,,arboreal,2,forest_wetlands,diurnal,endangered,Asia,monogamy,,0,,0,,0,,,12.3,0.986550633,210000,,
Presbytis_rubicunda,1,0,0,0,0,0,0,1,114.9790226,0.979806897,40.95163613,108.7856522,-4.024318693,119.2675018,6.665887505,0,0,3,0,0,6,0,0,8,2,0,0,4,8,1,1,9,0.4,,,Folivore,Other,1,D,6.13,6.04,6.22,87.225,6.995555556,0.035,-0.371,0.174,845.8,arboreal,1,forest,diurnal,least concern,Asia,polygynous,Protozoa_Helminth,2,CloseT_Nonclose_Intermediate,3,Direct_Indirect,2,9,,21.5,1.029801325,872250,0.802587021,9
Presbytis_vetulus,1,0,0,0,0,1,0,1,,,,,,,,0,1,2,0,0,1,0,0,4,1,0,0,2,3,0,2,4,,,,Folivore,Other,2,D,7.03,5.9,8.17,5.375,,0.221,-0.346,0.392,,arboreal,2,forest_rocky.areas,diurnal,endangered,Asia,polygynous,Bacteria_Protozoa_Helminth,3,CloseT_Nonclose,2,Direct_Indirect,2,4,,,1.384745763,53750,,132
Procolobus_verus,1,0,0,0,0,0,0,1,-5.380446913,6.561774983,33.73583564,-12.5169363,4.353056908,7.362113649,9.466808585,0,0,8,0,1,6,0,0,14,2,1,1,7,12,1,2,15,4.35,,,Folivore,Other,1,,4.45,4.2,4.7,43.3,18.61428571,0.299,-0.358,0.424,1212,arboreal,1,forest,diurnal,near threatened,M_Africa,multimale-multifemale,Protozoa_Virus_Helminth,3,Sexual_Vertical_CloseT_Nonclose_Intermediate,5,Direct_Indirect,2,15,,21,1.119047619,433000,1.63231365,128
Propithecus_diadema,1,0,0,0,0,0,0,5,48.56255902,-17.89144028,1.960132873,46.83862,-22.3442,49.93515396,-12.69572617,20,0,0,0,3,29,0,3,32,17,0,0,17,24,14,11,17,6.421,,,Folivore,Other,1,D,5.015555556,4.727,4.8125,36.971,4.371428571,-0.39,-0.278,,980.81125,arboreal,1,forest,diurnal,endangered,Madagascar,polygynous,Arthropod_Virus_Helminth,3,Vector_CloseT_Nonclose_Intermediate,4,Direct_Indirect,2,17,,,1.018087582,369710,1.429551417,124
Propithecus_verreauxi,1,0,0.25,0,0,0,0,4,45.54740044,-19.54265293,14.63119043,43.2248764,-25.60895157,48.45653257,-14.50939735,9,3,4,0,0,13,0,8,19,10,0,1,10,16,1,12,19,4.7,,,Folivore,Other,3,D,3.22,3.067666667,3.10075,7.076428571,4.739285714,-0.194,-0.259,,938.3333333,arboreal,2,forest_shrubland,diurnal,endangered,Madagascar,multimale-multifemale,Arthropod_Bacteria_Protozoa_Helminth,4,Vector_Vertical_CloseT_Nonclose_Intermediate,5,Direct_Indirect,2,19,,130,1.010784527,70764.28571,3.126043532,126
